PIDES
AlphaP	AlphaI	AlphaD	GammaI	GammaD	OmegaP	OmegaI	OmegaP	H	To
0.010000	0.017000	0.000000	0.050000	0.035000	0.000000	2.513270	2.010620	0.000000	0.500000	5.000000
SaidaP	SaidaI	SaidaD	J	Kp	Ki	Kd
-5.230248	-0.052520	0.000000	0.000000	0.400000	0.200000	0.000000
-5.186663	-0.052085	0.000000	0.000000	0.400000	0.200000	0.000000
-5.186663	-0.051867	0.000000	0.000000	0.400000	0.200000	0.000000
-5.186663	-0.051867	0.000000	0.000000	0.400000	0.200000	0.000000
-5.186663	-0.051867	0.000000	0.000000	0.400000	0.200000	0.000000
-5.143077	-0.051649	0.000000	0.000000	0.400000	0.200000	0.000000
-5.143077	-0.051431	0.000000	0.000000	0.400000	0.200000	0.000000
-5.143077	-0.051431	0.000000	0.000000	0.400000	0.200000	0.000000
-5.143077	-0.051431	0.000000	0.000000	0.400000	0.200000	0.000000
-5.099492	-0.051213	0.000000	0.000000	0.400000	0.200000	0.000000
-5.099492	-0.050995	0.000000	0.000000	0.400000	0.200000	0.000000
-5.099492	-0.050995	0.000000	0.000000	0.400000	0.200000	0.000000
-5.099492	-0.050995	0.000000	0.000000	0.400000	0.200000	0.000000
-5.099492	-0.050995	0.000000	0.000000	0.400000	0.200000	0.000000
-5.099492	-0.050995	0.000000	0.000000	0.400000	0.200000	0.000000
-5.055906	-0.050777	0.000000	0.000000	0.400000	0.200000	0.000000
-5.099492	-0.050777	0.000000	0.000000	0.400000	0.200000	0.000000
-5.055906	-0.050777	0.000000	0.000000	0.400000	0.200000	0.000000
-5.055906	-0.050559	0.000000	0.000000	0.400000	0.200000	0.000000
-5.055906	-0.050559	0.000000	0.000000	0.400000	0.200000	0.000000
-5.055906	-0.050559	0.000000	0.000000	0.400000	0.200000	0.000000
-5.055906	-0.050559	0.000000	0.000000	0.400000	0.200000	0.000000
-5.055906	-0.050559	0.000000	0.000000	0.400000	0.200000	0.000000
-5.055906	-0.050559	0.000000	0.000000	0.400000	0.200000	0.000000
-5.055906	-0.050559	0.000000	0.000000	0.400000	0.200000	0.000000
-5.055906	-0.050559	0.000000	0.000000	0.400000	0.200000	0.000000
-5.055906	-0.050559	0.000000	0.000000	0.400000	0.200000	0.000000
-5.055906	-0.050559	0.000000	0.000000	0.400000	0.200000	0.000000
-5.055906	-0.050559	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050341	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
-5.012321	-0.050123	0.000000	0.000000	0.400000	0.200000	0.000000
